Date,Open,High,Low,Close
2015-01-02,14.620667457580566,14.620667457580566,14.883333206176758,14.21733283996582
2015-01-05,14.005999565124512,14.005999565124512,14.433333396911621,13.810667037963867
2015-01-06,14.085332870483398,14.085332870483398,14.279999732971191,13.61400032043457
2015-01-07,14.063332557678223,14.063332557678223,14.3186674118042,13.985333442687988
2015-01-08,14.041333198547363,14.041333198547363,14.25333309173584,14.000666618347168
2015-01-09,13.77733325958252,13.77733325958252,13.998666763305664,13.663999557495117
2015-01-12,13.480667114257812,13.480667114257812,13.631333351135254,13.283332824707031
2015-01-13,13.616666793823242,13.616666793823242,13.840666770935059,13.394000053405762
2015-01-14,12.845999717712402,12.845999717712402,13.013333320617676,12.333333015441895
2015-01-15,12.791333198547363,12.791333198547363,13.050000190734863,12.666666984558105
2015-01-16,12.871333122253418,12.871333122253418,12.965999603271484,12.643333435058594
2015-01-20,12.795332908630371,12.795332908630371,12.941332817077637,12.469332695007324
2015-01-21,13.104666709899902,13.104666709899902,13.245332717895508,12.633999824523926
2015-01-22,13.441332817077637,13.441332817077637,13.549332618713379,13.013333320617676
2015-01-23,13.419333457946777,13.419333457946777,13.566666603088379,13.222000122070312
2015-01-26,13.770000457763672,13.770000457763672,13.907999992370605,13.403332710266113
2015-01-27,13.732000350952148,13.732000350952148,13.868666648864746,13.553333282470703
2015-01-28,13.291333198547363,13.291333198547363,13.758000373840332,13.227999687194824
2015-01-29,13.680000305175781,13.680000305175781,13.732000350952148,13.100000381469727
2015-01-30,13.573332786560059,13.573332786560059,13.83133316040039,13.533332824707031
2015-02-02,14.062666893005371,14.062666893005371,14.130000114440918,13.553333282470703
2015-02-03,14.557332992553711,14.557332992553711,14.691332817077637,14.084667205810547
2015-02-04,14.569999694824219,14.569999694824219,14.76533317565918,14.453332901000977
2015-02-05,14.732666969299316,14.732666969299316,15.031999588012695,14.642666816711426
2015-02-06,14.490667343139648,14.490667343139648,14.893333435058594,14.433333396911621
2015-02-09,14.498666763305664,14.498666763305664,14.528667449951172,14.13266658782959
2015-02-10,14.419333457946777,14.419333457946777,14.699999809265137,14.333333015441895
2015-02-11,14.186667442321777,14.186667442321777,14.315999984741211,13.8186674118042
2015-02-12,13.525333404541016,13.525333404541016,13.53933334350586,12.885333061218262
2015-02-13,13.584667205810547,13.584667205810547,13.732666969299316,13.394000053405762
2015-02-17,13.623332977294922,13.623332977294922,13.713333129882812,13.433333396911621
2015-02-18,13.630666732788086,13.630666732788086,13.744667053222656,13.506667137145996
